CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ANTH 157 (50014),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,"Grace, Samantha Lois",5.00,None
ANTH 170 (56432),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TBA,TBA,TBA,5.00,30
ANTH 170 (50016),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,"Grace, Samantha Lois",5.00,23
ARTH 140 (51538),Photography in the U.S.,"American Studies (Pathway), Beauty (Pathway), Justice and the Arts (Pathway), Values Science Technology (Pathway), Diversity",TR 03:50 PM - 5:30pm,DOWD 208,"Pappas, Andrea",5.00,6
COMM 166 (51589),News and Democracy,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 09:15 AM - 10:20am,HEAFEY 225,"Raphael, Charles H",5.00,None
ENGL 38 (50397),Intro to Asian-American Lit,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,KENNA 107,"Chen, Lilly",4.00,1
ENGL 169A (50392),"Women, Literature and Theory","American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 105,"Edelstein, Marilyn J",5.00,16
ETHN 5 (51620),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 108,"Griffin, Allia Ida",4.00,None
ETHN 5 (51621),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,DOWD 108,"Griffin, Allia Ida",4.00,None
ETHN 30 (50443),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,ALAM 101,"Hughes, Sakina",4.00,None
ETHN 30 (51455),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 308,"Hazard, Anthony Q",4.00,None
