CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ANTH 4 (59819),Vanished Peoples & Lost Civ,"American Studies (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,CASA 8,"Anderson, Nathan",4.00,19
ENGL 36 (59895),Intro to Latinx Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,ALAM 101,"Medina, Cruz Nicholas",4.00,1
ENGL 129 (60509),Black Theater,"American Studies (Pathway), Justice and the Arts (Pathway), Diversity",MWF 01:00 PM - 2:05pm,LUCAS 309,"Griffin, Allia Ida",5.00,None
ENGL 137 (59902),Indigenous Literature,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway)",TR 12:10 PM - 1:50pm,GRAHAM 163,"Burnham, Michelle",5.00,12
ETHN 5 (58725),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,LUCAS 309,"Griffin, Allia Ida",4.00,None
ETHN 21 (59948),Intro to Latinx Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,ALAM 101,"Medina, Cruz Nicholas",4.00,1
ETHN 30 (58726),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 308,"Hazard, Anthony Q",4.00,None
ETHN 40 (58733),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,OCONR 204,"Lai, James S",4.00,None
ETHN 111 (59950),Indigenous Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway)",TR 12:10 PM - 1:50pm,GRAHAM 163,"Burnham, Michelle",5.00,12
ETHN 132 (59954),The History of Hip Hop,"American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,MDF 119,"Zanfagna, Christina M",5.00,None
ETHN 136 (60510),Black Theater,"American Studies (Pathway), Justice and the Arts (Pathway), Diversity",MWF 01:00 PM - 2:05pm,LUCAS 309,"Griffin, Allia Ida",5.00,None
ETHN 137 (60762),AfricnAmericn PursuitofFreedom,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement",MWF 01:00 PM - 2:05pm,ALMSC 302,"Odamtten, Harry Nii Koney",5.00,9
ETHN 141 (60119),Asian American Women,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,KENNA 308,"Ninh, Thien-Huong",5.00,8
ETHN 142 (59955),Asian American Communities,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,OCONR 102,"Lai, James S",5.00,None
ETHN 166 (60120),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 08:30 AM - 10:10am,HEAFEY 225,"White, Bryson",5.00,None
ETHN 166 (60549),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,KENNA 214,"White, Bryson",5.00,None
ETHN 176 (60296),Race & Sex in Modern America,"American Studies (Pathway), Paradigm Shifts (Pathway), Diversity",TR 03:50 PM - 5:30pm,GRAHAM 164,"Gomez, Sonia",5.00,6
HIST 65 (59920),Parties and Presidents,"American Studies (Pathway), Democracy (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Civic Engagement",W 06:00 PM - 9pm,OCONR 205,"Wigmore, Gregory Stephen",4.00,8
HIST 75 (59922),Natives&Newcomers in N America,"American Studies (Pathway), Paradigm Shifts (Pathway), Diversity",TR 02:00 PM - 3:40pm,ALMSC 301,"Wigmore, Gregory Stephen",4.00,None
HIST 96A (59923),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",TR 03:50 PM - 5:30pm,ALMSC 301,"Wigmore, Gregory Stephen",4.00,1
HIST 105 (60110),Race and Sex in Modern America,"American Studies (Pathway), Paradigm Shifts (Pathway), Diversity",TR 03:50 PM - 5:30pm,GRAHAM 164,"Gomez, Sonia",5.00,6
HIST 155 (59926),AfricnAmericn PursuitofFreedom,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement",MWF 01:00 PM - 2:05pm,ALMSC 302,"Odamtten, Harry Nii Koney",5.00,9
HIST 165 (59927),Parties and Presidents,"American Studies (Pathway), Democracy (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Civic Engagement",W 06:00 PM - 9pm,OCONR 205,"Wigmore, Gregory Stephen",5.00,8
HIST 175 (59928),Natives&Newcomers in N America,"American Studies (Pathway), Paradigm Shifts (Pathway), Diversity",TR 02:00 PM - 3:40pm,ALMSC 301,"Wigmore, Gregory Stephen",5.00,None
MUSC 132 (59958),The History of Hip Hop,"American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,MDF 119,"Zanfagna, Christina M",5.00,None
PHIL 33 (59785),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",MWF 01:00 PM - 2:05pm,KENNA 111,"Clardy, Justin",4.00,4
PHIL 33 (59023),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",MWF 10:30 AM - 11:35am,KENNA 304,"Clardy, Justin",4.00,1
POLI 1 (59102),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 01:00 PM - 2:05pm,KENNA 304,"Cheikhali, Sarah",4.00,23
POLI 1 (59091),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 09:15 AM - 10:20am,KENNA 105,"Harrigan, Matthew Thomas",4.00,15
POLI 1 (59092),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 10:30 AM - 11:35am,KENNA 105,"Harrigan, Matthew Thomas",4.00,None
POLI 170 (59984),Campaigns and Elections,"American Studies (Pathway), Democracy (Pathway)",TR 02:00 PM - 3:40pm,KENNA 105,"Baker, Anne Elizabeth",5.00,28
POLI 173 (59985),Sports & Politics in the U.S.,"American Studies (Pathway), Applied Ethics (Pathway)",MWF 02:15 PM - 3:20pm,VARI 129,"Harrigan, Matthew Thomas",5.00,None
RSOC 61 (59996),Nonreligion in America,"American Studies (Pathway), Religion Theology & Culture 2",MWF 10:30 AM - 11:35am,KENNA 308,"Drescher, Elizabeth",4.00,2
RSOC 61 (59997),Nonreligion in America,"American Studies (Pathway), Religion Theology & Culture 2",MWF 11:45 AM - 12:50pm,KENNA 308,"Drescher, Elizabeth",4.00,4
RSOC 111 (59999),Inventing Religion in America,"American Studies (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,KENNA 212,"Bennett, James",5.00,None
RSOC 184 (59148),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 08:30 AM - 10:10am,HEAFEY 225,"White, Bryson",5.00,None
RSOC 184 (60488),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,KENNA 214,"White, Bryson",5.00,None
SOCI 33 (59199),Social Problems in the U.S.,"American Studies (Pathway), Feeding the World (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,DOWD 108,"King, Molly Mccarthy",4.00,None
SOCI 132 (59206),Inequality &the American Dream,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement",TR 10:20 AM - 12pm,DOWD 108,"King, Molly Mccarthy",5.00,9
SOCI 150 (60489),Immigrant Businesses in the US,"American Studies (Pathway), Diversity",TR 03:50 PM - 5:30pm,KENNA 308,"Di, Di",5.00,4
SOCI 157 (60018),Sociology of Family,"American Studies (Pathway), Children, Family, & Society (Pathway), Democracy (Pathway), Gender, Sexuality & the Body (Pathway), Civic Engagement",MWF 10:30 AM - 11:35am,OCONR 103,"Chiaraluce, Cara Ann",5.00,None
TESP 65 (59189),U.S. Hispanic Theology,"American Studies (Pathway), Diversity, Religion Theology & Culture 2",MW 03:30 PM - 5:15pm,KENNA 218,"Olea, Vincent",4.00,None
THTR 161 (60508),Black Theater,"American Studies (Pathway), Justice and the Arts (Pathway), Diversity",MWF 01:00 PM - 2:05pm,LUCAS 309,"Griffin, Allia Ida",5.00,None
WGST 50 (59239),Intro:Women's & Gender Studies,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MW 03:30 PM - 5:15pm,ONLINE,"Sharangpani, Mukta H",4.00,None
WGST 111 (60026),Asian American Women,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,KENNA 308,"Ninh, Thien-Huong",5.00,8
WGST 174A (60592),Race & Sex in Modern America,"American Studies (Pathway), Paradigm Shifts (Pathway), Diversity",TR 03:50 PM - 5:30pm,GRAHAM 164,"Gomez, Sonia",5.00,6
ELSJ 198 (59734),AppliedEthic Intern:Healthcare,"Applied Ethics (Pathway), Experiential Learning for Social Justice",M 05:15 PM - 7:15pm,DALY 206,"Caminiti, Dorothee",5.00,3
FNCE 180 (60145),Financial Planning & Analysis,"Applied Ethics (Pathway), Sustainability (Pathway)",TR 12:10 PM - 1:50pm,LUCAS 208,"Motey, Karl",5.00,1
MGMT 6 (59379),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MW 05:25 PM - 7:10pm,VARI 129,"Frontczak, Deirdre Mary Sheen",4.00,None
MGMT 6 (59378),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 08:30 AM - 10:10am,LUCAS 307,"Holzmeister, Angela Elizabeth",4.00,None
PHIL 22 (59017),Ethics in the Digital Age,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics",MW 04:00 PM - 5:30pm,ONLINE,"Keyser, Vadim",4.00,None
PHIL 24 (59008),Ethics and Gender in Film,"Applied Ethics (Pathway), Cinema Studies (Pathway), Ethics",MWF 10:30 AM - 11:35am,KENNA 310,"Nelson, Lawrence J",4.00,17
PHIL 25 (59013),Ethics in Society,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics",MWF 09:15 AM - 10:20am,CASA 7,"Kulp, Christopher B",4.00,None
PHIL 26 (59010),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 04:45 PM - 5:50pm,KENNA 104,"Shanklin III, Robert Elstone",4.00,None
PHIL 26 (59011),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 08:30 AM - 10:10am,KENNA 308,"Steele, Jeffrey Wayne",4.00,None
PHIL 26 (59009),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 11:45 AM - 12:50pm,KENNA 104,"Shanklin III, Robert Elstone",4.00,None
PHIL 27 (59021),Ethics in Health Care,"Applied Ethics (Pathway), Values Science Technology (Pathway), Ethics",TR 03:50 PM - 5:30pm,CASA 7,"Buckley, Brian J",4.00,8
PHIL 27H (59964),Ethics in Health Care-Honors,"Applied Ethics (Pathway), Values Science Technology (Pathway), Ethics",TR 02:00 PM - 3:40pm,CASA 3,"Buckley, Brian J",4.00,5
PHIL 28 (59784),Ethics in Politics,"Applied Ethics (Pathway), Democracy (Pathway), Ethics",TR 02:00 PM - 3:40pm,CASA 7,"Rogers, Tristan",4.00,22
PHIL 28 (59016),Ethics in Politics,"Applied Ethics (Pathway), Democracy (Pathway), Ethics",TR 10:20 AM - 12pm,CASA 7,"Rogers, Tristan",4.00,11
PHIL 34 (59014),Ethics and Adulthood,"Applied Ethics (Pathway), Ethics",MWF 10:30 AM - 11:35am,CASA 7,"Kulp, Christopher B",4.00,None
PHIL 40 (59965),"Science, Technology, & Society","Applied Ethics (Pathway), Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 01:00 PM - 2:05pm,CASA 8,"Kennedy, Susan",4.00,None
PHIL 130 (59968),Ethics of AI,"Applied Ethics (Pathway), The Digital Age (Pathway), Ethics",MW 03:30 PM - 5:15pm,CASA 8,"Kennedy, Susan",5.00,None
POLI 30 (59086),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)",MWF 02:15 PM - 3:20pm,KENNA 105,"Minowitz, Peter I",4.00,None
POLI 30 (59786),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)",TR 08:30 AM - 10:10am,KENNA 105,"Meredith, Thomas",4.00,35
RSOC 135 (59145),Architects of Solidarity,"Applied Ethics (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",MW 03:30 PM - 6pm,KENNA 214,"Riley, Philip W",5.00,3
TESP 69 (60008),Chrstn Soc Eth & Contemp Iss,"Applied Ethics (Pathway), Religion Theology & Culture 2",TR 12:10 PM - 1:50pm,CASA 7,"Peterson-Iyer, Karen",4.00,5
TESP 119 (59174),"Theology, Sex & Relationships","Applied Ethics (Pathway), Religion Theology & Culture 3",TR 03:50 PM - 5:30pm,KENNA 109,"Peterson-Iyer, Karen",5.00,None
TESP 129 (59181),Religion and Peace,"Applied Ethics (Pathway), Justice and the Arts (Pathway), Leading People, Org & Soc Chng (Pathway), Vocation (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",TR 03:50 PM - 5:30pm,ALAM 102,"Gibson, Diana C",5.00,None
TESP 152 (60011),"Faith, Ethics & Biodiversity","Applied Ethics (Pathway), Beauty (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Religion Theology & Culture 3",MW 03:30 PM - 5:15pm,LUCAS 209,"Schutz, Paul James",5.00,None
TESP 157 (59194),Ethics in Health Professions,"Applied Ethics (Pathway), Values Science Technology (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",TR 08:30 AM - 10:10am,KENNA 304,"McLean, Margaret",5.00,None
ARTH 66 (59822),Fabricating Nature in EastAsia,"Beauty (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Cultures and Ideas 3, Religion Theology & Culture 2",TR 12:10 PM - 1:50pm,DOWD 208,"Clydesdale, Heather D",4.00,None
ARTH 185 (59824),Post-Modern & Contemporary Art,"Beauty (Pathway), Diversity",MW 03:30 PM - 5:15pm,DOWD 208,"Gilman, Bridget",5.00,None
ARTS 43 (58403),Basic Painting,"Beauty (Pathway), Arts",MW 03:30 PM - 5:50pm,DOWD 320,"Eastburn, Jessica",4.00,None
