CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ANTH 148 (55653),Historical Archaeology,"American Studies (Pathway), Diversity",MWF 11:45 AM - 12:50pm,HEAFEY 129,"Anderson, Nathan",5.00,1
COMM 138 (56358),Television History,"American Studies (Pathway), Cinema Studies (Pathway)",MWF 03:30 PM - 4:35pm,KENNA 111,"Kis, Katalin",5.00,1
ENGL 68AM (55728),American Literature and Women,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 105,"Edelstein, Marilyn J",4.00,13
ENGL 136 (55736),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,OCONR 107,"Velasco-Moreno, Juan",5.00,16
ETHN 5 (56418),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 134,"Griffin, Allia Ida",4.00,None
ETHN 30 (54511),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,ALAM 108,"Hazard, Anthony Q",4.00,None
ETHN 40 (54512),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 08:30 AM - 10:10am,KENNA 109,"Lai, James S",4.00,None
ETHN 124 (55752),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,OCONR 107,"Velasco-Moreno, Juan",5.00,16
ETHN 164 (56441),"Pop Music, Race & Amer Culture","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 10:20 AM - 12pm,MDF 119,"Zanfagna, Christina M",5.00,None
ETHN 167 (55754),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,OCONR 102,"Di, Di",5.00,None
ETHN 169 (56371),Gender/Sex/Social Movt 20th US,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement, Diversity",TR 03:50 PM - 5:30pm,HEAFEY 225,"Gomez, Sonia",5.00,3
HIST 119 (55759),Gender & Soc Mvmt 20th c.,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement, Diversity",TR 03:50 PM - 5:30pm,HEAFEY 225,"Gomez, Sonia",5.00,3
HIST 177 (54525),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,MDF 119,"Unger, Nancy C",5.00,1
HIST 188S (55763),Making of Modern US: 1877-1920,"American Studies (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Civic Engagement, Diversity",W 03:30 PM - 6:30pm,ALMSC 302,"Unger, Nancy C",5.00,6
ITAL 185 (54611),Italian-American Experience,"American Studies (Pathway), Diversity",TR 03:50 PM - 5:30pm,OCONR 106,"Quinn, Roseanne G.",5.00,11
